2,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
1,0.06,-1,2,[]
0,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
0,0.06,-1,2,[]
1,0.06,-1,2,[]
2,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
2,0.06,-1,2,[]
1,0.06,-1,2,[]
0,0.06,-1,2,[]
3,0.06,-1,2,[]
4,0.06,-1,2,[]
