0,0.06,-1,5,[]
3,0.06,-1,5,[]
2,0.06,-1,5,[]
1,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
0,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
1,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
0,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
1,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
0,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
0,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
0,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,0.06,-1,5,[]
1,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
1,0.06,-1,5,[]
0,0.06,-1,5,[]
2,0.06,-1,5,[]
3,0.06,-1,5,[]
4,0.06,-1,5,[]
0,30.1,-1,5,[]
1,30.1,-1,5,[]
2,30.1,-1,5,[]
3,30.1,-1,5,[]
4,30.1,-1,5,[]
2,30.1,-1,5,[]
0,30.1,-1,5,[]
1,30.1,-1,5,[]
3,30.1,-1,5,[]
4,30.1,-1,5,[]
