0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.2951851435610227,0.09001141977624982
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435559773578438,-0.10951170593000238
2,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.15610928967114446,-0.26987539503061453
3,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.09481493315241346,0.10001141660420516
4,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.1320093220348755,-0.04634390852035368
0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.29518514356102293,0.09001141977625005
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435559773578445,-0.1095117059300018
2,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.15610928967115584,-0.2698753950306147
3,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.09481493315241347,0.10001141660420501
4,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.1320093220348753,-0.04634390852035407
0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.2966843977767634,0.08999949199811627
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435559773578438,-0.10951170593000238
2,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.15610928967114446,-0.26987539503061453
3,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.0933156787627408,0.09999949199831348
4,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.13200932203487223,-0.0463439085203533
0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.2966843977767631,0.08999949199811617
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435559773578454,-0.10951170593000233
2,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.15610928967115584,-0.2698753950306147
3,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.09331567876274079,0.0999994919983135
4,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.13200932203487498,-0.04634390852035399
0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.2951851441301947,0.09001143274970189
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435561006574786,-0.10951173512452621
2,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.1561128062541624,-0.2698762697451078
3,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.09481493231169212,0.10001142775193486
4,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.1320093974124326,-0.04634392129785349
0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.29518514413019464,0.09001143274970179
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435561006574786,-0.10951173512452621
2,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.1561128062541624,-0.2698762697451078
3,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.09481493231169216,0.10001142775193542
4,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.13200939741242793,-0.046343921297854036
0,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,0.2966843977767634,0.08999949199811627
1,0.06,0.25,0.25,0.25,0.25,0,0,1,0,1,ga,-1,0,[],0,-0.06435559773578438,-0.10951170593000238
